513	64
1201	127
1503	157
121	23
264	32
485	53
885	92
1445	186
283	43
444	57
157	23
364	62
652	75
1341	145
236	31
298	38
370	43
453	48
136	18
873	119
180	25
99	15
1235	160
181	25
22	9
587	73
181	22
537	57
180	29
193	23
360	64
208	34
422	57
66	13
50	9
481	85
404	68
8	4
304	77
179	32
604	69
153	21
179	28
125	17
350	44
54	12
389	46
209	26
12	4
959	109
22	4
74	12
123	17
261	38
95	14
47	6
60	11
67	12
28	9
91	12
104	15
44	9
67	12
55	9
111	15
100	15
584	76
90	13
27	5
64	13
61	10
104	12
52	9
138	22
73	13
59	11
27	5
64	10
34	6
196	32
190	27
6	2
2	2
75	9
2	2
4	2
4	2
16	4
12	4
15	6
0	0
0	0
5	2
4	2
4	2
2	2
2	2
189	25
92	13
5	2
43	10
83	12
6	3
22	8
34	5
60	8
59	13
42	9
12	3
38	6
22	5
4	2
63	11
4	2
281	38
8	3
21	4
71	10
7	2
23	5
32	10
24	5
20	7
26	7
37	6
22	4
32	6
6	2
19	4
27	4
14	5
42	8
19	3
4	1
32	5
397	65
14	4
26	12
4	2
10	4
53	10
36	7
40	9
42	8
27	5
17	4
34	6
33	6
6	2
6	2
7	2
24	4
28	5
10	3
11	5
21	5
10	3
38	7
10	3
14	3
15	4
33	6
13	4
42	7
11	4
28	5
25	4
11	6
6	2
19	6
15	3
15	4
32	6
13	4
14	3
22	5
4	2
6	2
180	31
14	4
19	5
12	3
14	3
12	6
4	2
10	2
18	3
10	2
15	4
10	3
2	1
13	4
3	2
2	1
4	2
4	2
8	2
3	1
30	5
11	3
2	1
12	4
2	1
2	1
14	5
3	1
6	3
4	2
10	2
11	5
20	4
0	0
10	4
11	3
8	4
0	0
10	2
4	2
50	9
29	9
8	2
4	1
34	6
0	0
8	2
6	2
0	0
4	2
10	2
7	2
10	2
4	2
4	2
4	2
6	2
4	2
12	3
8	2
2	2
0	0
54	11
4	2
4	2
2	1
4	2
6	2
8	4
7	2
8	4
10	2
4	2
11	3
26	4
17	5
20	4
12	2
20	4
4	2
6	2
18	3
8	3
4	2
22	4
4	2
18	3
12	3
2	2
4	2
14	3
10	3
8	4
2	1
8	2
14	4
4	2
6	2
4	2
4	2
6	2
10	4
4	2
4	2
4	2
4	2
4	2
8	2
6	2
4	2
4	2
4	2
6	2
4	2
5	2
6	2
4	2
2	1
2	2
8	3
24	7
0	0
0	0
